City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bethel,US,74.68,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
4,Banjar,ID,78.66,scattered clouds,-8.19,114.9675,The Hamsa Resort
6,Ferrol,ES,62.67,scattered clouds,43.4832,-8.2369,Parador de Ferrol
7,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
8,Saint-Philippe,RE,65.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
9,Bredasdorp,ZA,53.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Airai,TL,61.25,broken clouds,-8.9266,125.4092,Juvinal Martin
11,Kawalu,ID,71.26,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
12,Port Alfred,ZA,65.86,overcast clouds,-33.5906,26.891,The Halyards Hotel
13,Hermanus,ZA,53.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Alyangula,AU,76.95,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
18,Ostersund,SE,53.62,light intensity drizzle,63.1792,14.6357,Best Western Hotel Gamla Teatern
23,Bengkulu,ID,74.23,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Atuona,PF,76.89,scattered clouds,-9.8,-139.0333,Villa Enata
30,Rikitea,PF,70.5,few clouds,-23.1203,-134.9692,People ThankYou
31,Puerto Ayora,EC,72.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Khatanga,RU,65.35,broken clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
33,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
38,Fagernes,NO,55.27,moderate rain,60.9858,9.2324,Scandic Valdres
39,Nikolskoye,RU,62.49,scattered clouds,59.7035,30.7861,Tourist House - Sablino
40,Jvari,GE,66.45,few clouds,42.7169,42.052,Savanna House
41,Cidreira,BR,57.16,clear sky,-30.1811,-50.2056,Hotel Castelo
45,Jamestown,US,70.36,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
46,Westport,US,76.28,clear sky,41.1415,-73.3579,The Westport Inn
47,Monforte De Lemos,ES,57.29,scattered clouds,42.5216,-7.5142,Hotel Cardenal
51,Lima,PE,61.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
53,Kiama,AU,73.58,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
54,Thompson,CA,74.84,overcast clouds,55.7435,-97.8558,Burntwood Hotel
55,Los Llanos De Aridane,ES,70.12,scattered clouds,28.6585,-17.9182,Valle Aridane
56,Vao,NC,66.74,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
57,Saint-Pierre,RE,65.84,clear sky,-21.3393,55.4781,Lindsey Hôtel
60,Inuvik,CA,77.72,overcast clouds,68.3499,-133.7218,Nova Inn Inuvik
63,Maharajganj,IN,78.48,scattered clouds,27.1333,83.5667,Pt. Deen Dayal Hostel
65,Marystown,CA,63.86,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
67,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
68,Quimper,FR,58.03,broken clouds,48.0,-4.1,Hôtel Escale Oceania Quimper
69,Severo-Kurilsk,RU,54.37,overcast clouds,50.6789,156.125,Kak Doma
70,Quatre Cocos,MU,69.1,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
71,Barcelos,PT,61.84,scattered clouds,41.5388,-8.6151,Hotel Do Terço
73,Caravelas,BR,67.66,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
76,Tuktoyaktuk,CA,50.9,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
77,Khani,GE,62.17,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
78,Torbat-E Jam,IR,72.54,clear sky,35.244,60.6225,White building
80,Chumikan,RU,50.23,overcast clouds,54.7183,135.315,Fortuna
81,Tawau,MY,78.33,scattered clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
83,Roald,NO,57.16,light intensity drizzle,62.5833,6.1333,Flem Cabins
85,Shahrud,IR,71.74,scattered clouds,36.4182,54.9763,Royal Hotel
86,Padilla,CO,77.56,broken clouds,3.2204,-76.3139,La Granadina
87,Cape Town,ZA,55.89,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
88,Mar Del Plata,AR,50.13,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
90,Port-Cartier,CA,65.93,overcast clouds,50.0334,-66.8654,Le Q'Artier
91,Salinopolis,BR,77.43,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
92,Peniche,PT,63.88,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
93,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
94,Arraial Do Cabo,BR,66.87,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
99,Mercedes,AR,51.89,few clouds,-34.6515,-59.4307,Posada del Inti Centro
100,Yarim,YE,58.64,few clouds,14.298,44.3779,وليد المسوري ابو اسد
101,Mitsamiouli,KM,76.68,clear sky,-11.3847,43.2844,Foyer ADM
104,Vila,PT,52.93,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
105,Ribeira Grande,PT,71.69,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
106,Barrow,US,50.02,light rain,71.2906,-156.7887,King Eider Inn
107,Chapais,CA,60.03,broken clouds,49.7834,-74.8492,Hôtel Opémiska
109,Husavik,IS,53.67,overcast clouds,66.0449,-17.3389,Bjarnabúð
110,Mashhad,IR,71.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
115,Birin,NP,63.61,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
117,Vuktyl,RU,58.98,overcast clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
118,Souillac,MU,69.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
120,Zaragoza,ES,63.12,clear sky,41.6561,-0.8773,Hotel Goya
122,Matara,LK,77.5,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
123,Tabou,CI,76.33,light rain,4.423,-7.3528,hotêl doufoulougou
124,Betioky,MG,63.48,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
129,Yarmouth,US,72.45,clear sky,41.7057,-70.2286,Blue Rock Resort
135,Zhanakorgan,KZ,77.67,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
136,Margate,GB,62.31,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
138,Nemuro,JP,65.12,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
139,Auki,SB,79.52,light rain,-8.7676,160.7034,Auki Motel
140,Kendari,ID,75.09,overcast clouds,-3.945,122.4989,Hotel Wixel
142,Muros,ES,63.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
146,San Juan De Los Morros,VE,71.87,light rain,9.9115,-67.3538,Hotel La Montaña
147,Kristiansund,NO,53.65,overcast clouds,63.1115,7.732,Thon Hotels Storgata
148,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
149,Vestmannaeyjar,IS,53.73,light rain,63.4427,-20.2734,Glamping & Camping
151,Tucuman,AR,56.75,clear sky,-26.8241,-65.2226,HOTEL MIAMI
152,Angoche,MZ,73.04,scattered clouds,-16.2325,39.9086,Guest House HESADA
153,Sao Jose Do Rio Pardo,BR,58.73,scattered clouds,-21.5956,-46.8886,Hotel Paulista
154,Kaputa,ZM,66.33,clear sky,-8.4689,29.6619,Chelelwa Charlets
157,Den Helder,NL,63.99,overcast clouds,52.9599,4.7593,Hotel Den Helder
158,Ust-Nera,RU,65.41,broken clouds,64.5667,143.2,Hotel Ust-Nera
159,Shakawe,BW,51.8,clear sky,-18.3667,21.85,Ditlhapi Guest House
160,Toamasina,MG,66.58,light rain,-18.1667,49.3833,Hotel H1
161,Pangnirtung,CA,52.81,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
165,Zhigansk,RU,71.71,few clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
166,Qaqortoq,GL,54.1,broken clouds,60.7167,-46.0333,Hotel Qaqortoq
168,Dalmatovo,RU,63.14,light rain,56.26,62.9362,"Gostinitsa I Obshchezhitiye ""Start-Prodservis"""
169,Broome,US,71.65,clear sky,42.2506,-75.833,Chenango Valley State Park
170,Kodiak,US,60.31,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
171,Ilulissat,GL,57.22,scattered clouds,69.2167,-51.1,Hotel Arctic
172,Grindavik,IS,53.56,fog,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
