City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hilo,US,2021-07-31 02:13:10,19.7297,-155.09,78.53,73,90,0.0
1,Bambous Virieux,MU,2021-07-31 02:15:31,-20.3428,57.7575,70.05,68,75,11.5
2,Houma,US,2021-07-31 02:15:32,29.5958,-90.7195,87.8,86,85,1.01
3,Qingdao,CN,2021-07-31 02:12:45,36.0986,120.3719,82.17,69,0,3.87
4,Punta Arenas,CL,2021-07-31 02:12:05,-53.15,-70.9167,37.51,75,0,21.85
5,Bluff,NZ,2021-07-31 02:15:32,-46.6,168.3333,49.8,92,100,4.59
6,Lisala,CD,2021-07-31 02:15:33,2.15,21.5167,68.18,91,100,2.37
7,Merritt Island,US,2021-07-31 02:15:33,28.5392,-80.672,86.36,86,75,1.99
8,East London,ZA,2021-07-31 02:15:33,-33.0153,27.9116,58.37,55,1,6.89
9,Ponta Do Sol,PT,2021-07-31 02:15:33,32.6667,-17.1,73.0,81,0,5.46
10,Chuy,UY,2021-07-31 02:15:34,-33.6971,-53.4616,44.19,83,0,6.76
11,Qaanaaq,GL,2021-07-31 02:15:34,77.484,-69.3632,41.9,90,100,0.54
12,Nikolskoye,RU,2021-07-31 02:15:34,59.7035,30.7861,60.4,84,100,12.46
13,Coquimbo,CL,2021-07-31 02:15:35,-29.9533,-71.3436,49.73,87,90,2.3
14,Mar Del Plata,AR,2021-07-31 02:11:17,-38.0023,-57.5575,49.08,64,0,1.99
15,Puerto Ayora,EC,2021-07-31 02:15:35,-0.7393,-90.3518,70.56,96,28,3.0
16,Arlit,NE,2021-07-31 02:15:35,18.7369,7.3853,92.64,35,2,16.49
17,Karachi,PK,2021-07-31 02:15:35,24.9056,67.0822,80.42,83,75,17.27
18,Hermanus,ZA,2021-07-31 02:14:23,-34.4187,19.2345,51.91,81,3,5.14
19,Leningradskiy,RU,2021-07-31 02:15:36,69.3833,178.4167,33.48,93,99,18.25
20,Tyup,KG,2021-07-31 02:15:36,42.7276,78.3648,59.9,60,79,1.72
21,Kodiak,US,2021-07-31 02:11:52,57.79,-152.4072,58.51,67,90,0.0
22,Myitkyina,MM,2021-07-31 02:15:37,25.3833,97.4,75.85,99,100,0.78
23,Albany,US,2021-07-31 02:12:09,42.6001,-73.9662,61.45,68,0,4.0
24,Moron,AR,2021-07-31 02:12:48,-34.6534,-58.6198,53.98,60,0,4.0
25,College,US,2021-07-31 02:15:37,64.8569,-147.8028,73.38,58,75,3.44
26,Hithadhoo,MV,2021-07-31 02:15:37,-0.6,73.0833,80.92,74,73,2.77
27,Mataura,NZ,2021-07-31 02:15:36,-46.1927,168.8643,49.48,98,100,0.98
28,Dingle,PH,2021-07-31 02:15:38,10.9995,122.6711,88.3,65,100,14.0
29,Ilulissat,GL,2021-07-31 02:15:38,69.2167,-51.1,55.42,41,100,10.36
30,Dolores,AR,2021-07-31 02:15:39,-36.3132,-57.6792,42.13,73,0,8.84
31,Kapaa,US,2021-07-31 02:15:39,22.0752,-159.319,86.32,67,1,4.0
32,Cape Town,ZA,2021-07-31 02:15:39,-33.9258,18.4232,53.28,96,2,2.3
33,Ust-Barguzin,RU,2021-07-31 02:15:40,53.45,108.9833,57.13,90,96,4.21
34,Trofors,NO,2021-07-31 02:15:40,65.5333,13.4063,51.15,69,100,3.09
35,Valenca,BR,2021-07-31 02:15:40,-13.3703,-39.0731,67.28,95,100,7.67
36,Bathsheba,BB,2021-07-31 02:15:41,13.2167,-59.5167,81.21,83,40,16.11
37,Berestechko,UA,2021-07-31 02:15:41,50.3605,25.1107,63.0,76,49,6.42
38,Klaksvik,FO,2021-07-31 02:15:41,62.2266,-6.589,47.32,85,100,17.13
39,Rikitea,PF,2021-07-31 02:15:42,-23.1203,-134.9692,72.59,79,98,11.95
40,Barentu,ER,2021-07-31 02:15:42,15.1139,37.5928,66.7,90,100,6.8
41,Chokurdakh,RU,2021-07-31 02:15:42,70.6333,147.9167,60.21,47,41,19.98
42,Victoria,HK,2021-07-31 02:12:20,22.2855,114.1577,90.97,84,90,1.01
43,Barrow,US,2021-07-31 02:15:42,71.2906,-156.7887,50.02,87,90,8.05
44,Kaitangata,NZ,2021-07-31 02:15:43,-46.2817,169.8464,57.92,72,100,2.15
45,Ushuaia,AR,2021-07-31 02:15:43,-54.8,-68.3,35.26,75,40,5.75
46,Wuwei,CN,2021-07-31 02:15:43,37.9281,102.6414,87.93,18,0,6.02
47,Bay Roberts,CA,2021-07-31 02:15:44,47.5999,-53.2648,61.05,97,100,5.99
48,Port Alfred,ZA,2021-07-31 02:15:44,-33.5906,26.891,57.11,68,0,4.16
49,Port Elizabeth,ZA,2021-07-31 02:15:44,-33.918,25.5701,46.69,93,0,4.61
50,Sorland,NO,2021-07-31 02:15:45,67.667,12.6934,49.44,79,100,25.52
51,Georgetown,MY,2021-07-31 02:15:45,5.4112,100.3354,84.88,73,20,0.0
52,Antibes,FR,2021-07-31 02:15:45,43.5624,7.1278,74.68,79,0,1.14
53,Busselton,AU,2021-07-31 02:15:45,-33.65,115.3333,51.04,66,88,14.5
54,Savonlinna,FI,2021-07-31 02:15:46,61.8699,28.88,59.05,94,20,6.91
55,Upernavik,GL,2021-07-31 02:15:46,72.7868,-56.1549,40.6,85,8,12.93
56,Atuona,PF,2021-07-31 02:15:46,-9.8,-139.0333,77.4,72,40,13.18
57,Okhotsk,RU,2021-07-31 02:15:47,59.3833,143.3,62.15,55,41,4.03
58,Kiunga,PG,2021-07-31 02:15:47,-6.1219,141.2906,73.44,98,100,1.1
59,Bredasdorp,ZA,2021-07-31 02:15:47,-34.5322,20.0403,43.92,93,0,3.44
60,Ust-Tsilma,RU,2021-07-31 02:15:48,65.441,52.1498,50.94,72,100,5.21
61,Pisco,PE,2021-07-31 02:14:41,-13.7,-76.2167,61.02,88,90,11.5
62,Jamestown,US,2021-07-31 02:15:48,42.097,-79.2353,64.36,67,40,4.61
63,Naze,JP,2021-07-31 02:15:48,28.3667,129.4833,83.32,74,99,3.83
64,Arraial Do Cabo,BR,2021-07-31 02:15:05,-22.9661,-42.0278,64.63,60,68,14.9
65,Norman Wells,CA,2021-07-31 02:15:49,65.282,-126.8329,82.44,36,40,6.91
66,Belaya Gora,RU,2021-07-31 02:15:49,68.5333,146.4167,68.31,33,99,16.28
67,Longyearbyen,SJ,2021-07-31 02:15:49,78.2186,15.6401,39.04,70,40,14.97
